Service name,City,Extra,Clean_Service_Name,Core_Name
Eating Disorders Anonymous,Barrie,,eating disorders anonymous,eating disorders anonymous
Emotions Anonymous International,Guelph,1.0,emotions anonymous international,emotions anonymous international
Enrichment Centre for Mental Health,"Belleville, Ontario",1.0,enrichment centre for mental health,enrichment for
EveryMind Mental Health Services,Mississauga,1.0,everymind mental health services,everymind
Firefly,"Dryden, Ontario",1.0,firefly,firefly
Fred Victor,Toronto,1.0,fred victor,fred victor
Frontenac Youth Services,Oshawa,1.0,frontenac youth services,frontenac youth
Geriatric Psychiatry Community Services of Ottawa,Ottawa,1.0,geriatric psychiatry community services of ottawa,geriatric psychiatry of ottawa
Good Shepherd Centres,"Hamilton, Ontario",1.0,good shepherd centres,good shepherd centres
Grand River Community Health Centre,Brantford,1.0,grand river community health centre,grand river
Grand River Hospital,"Kitchener, Ontario",1.0,grand river hospital,grand river hospital
Group Health Centre,"Sault Ste. Marie, Ontario",1.0,group health centre,group
Hamilton Health Sciences,"Hamilton, Ontario",1.0,hamilton health sciences,hamilton sciences
Health Sciences North,Greater Sudbury,1.0,health sciences north,sciences north
Here 24 Seven,Guelph,1.0,here 24 seven,here 24 seven
Home on the Hill,"Richmond Hill, Ontario",1.0,home on the hill,home on hill
Homewood Health Centre,Guelph,1.0,homewood health centre,homewood
Hong Fook Mental Health Association,"Markham, Ontario",1.0,hong fook mental health association,hong fook
Hotel-Dieu Grace Healthcare,"Windsor, Ontario",1.0,hotel,hotel
Huron Perth Healthcare Alliance,"Stratford, Ontario",1.0,huron perth healthcare alliance,huron perth healthcare alliance
Institute for Advancements in Mental Health,Toronto,1.0,institute for advancements in mental health,institute for advancements in
Joseph Brant Hospital,"Burlington, Ontario",1.0,joseph brant hospital,joseph brant hospital
Ken Marek Lifegates Unlimited,Barrie,1.0,ken marek lifegates unlimited,ken marek lifegates unlimited
Kenora Association for Community Living,Kenora,1.0,kenora association for community living,kenora for living
"Keystone Child, Youth and Family Services",Owen Sound,1.0,keystone child youth and family services,keystone child youth and
Kinark Child and Family Services,Barrie,1.0,kinark child and family services,kinark child and
Kinark Child and Family Services. Durham Region,Oshawa,1.0,kinark child and family services durham region,kinark child and durham region
Krasman Centre,"Richmond Hill, Ontario",1.0,krasman centre,krasman
"Lakeridge Health, Durham Mental Health Services",Oshawa,1.0,lakeridge health durham mental health services,lakeridge durham
