Service name,City,Unnamed: 2,Counselling,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Clean_Service_Name,Core_Name
Cornwall Community Hospital,Barrie,1.0,,,,,,,cornwall community hospital,cornwall hospital
Counselling Centre of East Algoma,"Cornwall, Ontario",1.0,,,,,,,counselling centre of east algoma,counselling of east algoma
Counselling Centre of East Algoma,"Cornwall, Ontario",1.0,,,,,,,counselling centre of east algoma,counselling of east algoma
Counselling Connect,Elliot Lake,1.0,,,,,,,counselling connect,counselling connect
Crossroads : Centre for Personal Empowerment,Elliot Lake,1.0,,,,,,,crossroads centre for personal empowerment,crossroads for personal empowerment
Delta Health Clinics,Ottawa,1.0,,,,,,,delta health clinics,delta clinics
Delta Health Clinics,"Windsor, Ontario",1.0,,,,,,,delta health clinics,delta clinics
Delta Health Clinics,Barrie,1.0,,,,,,,delta health clinics,delta clinics
Dilico Anishinabek Family Care,Barrie,1.0,,,,,,,dilico anishinabek family care,dilico anishinabek care
Downtown Wellness Addiction Health Clinic,Barrie,1.0,,,,,,,downtown wellness addiction health clinic,downtown wellness
Eastern Champlain Youth Wellness Hubs,"Peterborough, Ontario",1.0,,,,,,,eastern champlain youth wellness hubs,eastern champlain youth wellness hubs
Eastern Ontario Health Unit,"Windsor, Ontario",1.0,,,,,,,eastern ontario health unit,eastern unit
EHN Canada,Clarence-Rockland,1.0,,,,,,,ehn canada,ehn canada
Erie-St Clair Clinic,"Cornwall, Ontario",,,,,,,,erie,erie
Essex County Diversion Program,"Peterborough, Ontario",,,,,,,,essex county diversion program,essex county diversion program
First Step Medical Clinic,Ottawa,,,,,,,,first step medical clinic,first step medical
First Step Medical Clinic,Mississauga,,,,,,,,first step medical clinic,first step medical
Four Counties Addiction Services Team,"Peterborough, Ontario",1.0,,,,,,,four counties addiction services team,four counties team
Four Counties Addiction Services Team,Thunder Bay,1.0,,,,,,,four counties addiction services team,four counties team
Four Counties Addiction Services Team,Kawartha Lakes,1.0,,,,,,,four counties addiction services team,four counties team
Fred Victor,"Peterborough, Ontario",1.0,,,,,,,fred victor,fred victor
Fresh Start Clinic,"Peterborough, Ontario",1.0,,,,,,,fresh start clinic,fresh start
Fresh Start Clinic,Toronto,1.0,,,,,,,fresh start clinic,fresh start
Fresh Start Clinic,Port Colborne,1.0,,,,,,,fresh start clinic,fresh start
Fresh Start Clinic,Port Colborne,1.0,,,,,,,fresh start clinic,fresh start
Good Shepherd Centres,St. Catharines,1.0,,,,,,,good shepherd centres,good shepherd centres
Goyeau Street Clinic,"Windsor, Ontario",1.0,,,,,,,goyeau street clinic,goyeau street
Grand River Hospital,,1.0,,,,,,,grand river hospital,grand river hospital
Guelph Family Health Team,,,,,,,,,guelph family health team,guelph team
Halton & Mississauga RAAM Clinic,,1.0,,,,,,,halton mississauga raam clinic,halton mississauga raam
Hastings Prince Edward Public Health Unit,,1.0,,,,,,,hastings prince edward public health unit,hastings prince edward public unit
Hastings Prince Edward Public Health Unit,,1.0,,,,,,,hastings prince edward public health unit,hastings prince edward public unit
Haven Toronto,,1.0,,,,,,,haven toronto,haven toronto
Healing of the Seven Generations,Kitchner,,Wellness Centre,,,,,,healing of the seven generations,healing of seven generations
Health Sciences North - Adult Alcohol Program,Sudbury,1.0,,,,,,,health sciences north,sciences north
Health Sciences North - Nord mental health & addiction program,Sudbury,1.0,,,,,,,health sciences north,sciences north
Heart Niagara,Greater Sudbury,1.0,,,,,,,heart niagara,heart niagara
Homewood Health Centre,Greater Sudbury,1.0,,,,,,,homewood health centre,homewood
Homewood Health Centre,"Niagara Falls, Ontario",1.0,,,,,,,homewood health centre,homewood
Horizons Opioid Treatment Service,Guelph,1.0,,,,,,,horizons opioid treatment service,horizons opioid
Hospital for Sick Children,Sarnia,1.0,,,,,,,hospital for sick children,hospital for sick children
Hotel-Dieu Grace Healthcare,"Burlington, Ontario",1.0,,,,,,,hotel,hotel
House of Friendship,Kitchner,1.0,,,,,,,house of friendship,house of friendship
House of Friendship,"Cambridge, Ontario",1.0,,,,,,,house of friendship,house of friendship
House of Sophrosyne,"Cambridge, Ontario",1.0,,,,,,,house of sophrosyne,house of sophrosyne
Huron Perth Healthcare Alliance,"Stratford, Ontario",1.0,,,,,,,huron perth healthcare alliance,huron perth healthcare alliance
Huron Perth Public Health,"Stratford, Ontario",,,,,,,,huron perth public health,huron perth public
John Howard Society of Kawartha Lakes & Haliburton,Kawartha Lakes,1.0,,,,,,,john howard society of kawartha lakes haliburton,john howard society of kawartha lakes haliburton
John Howard Society of Peel-Halton-Dufferin,Milton,1.0,,,,,,,john howard society of peel,john howard society of peel
Ka Na Chi Hih Specialized Solvent Abuse Treatment Centre,thunderbay,1.0,,,,,,,ka na chi hih specialized solvent abuse treatment centre,ka na chi hih specialized solvent abuse
Ka Na Chi Hih Specialized Solvent Abuse Treatment Centre,Siux lookout,1.0,,,,,,,ka na chi hih specialized solvent abuse treatment centre,ka na chi hih specialized solvent abuse
Kenora Youth Wellness Hub,Kenora,,,,,,,,kenora youth wellness hub,kenora youth wellness hub
Kingston Family Health Network,,,,,,,,,kingston family health network,kingston network
Kingston Health Sciences Centre,,,,,,,,,kingston health sciences centre,kingston sciences
Lake of the Woods District Hospital,"Kingston, Ontario",1.0,,,,,,,lake of the woods district hospital,lake of woods district hospital
Lakeridge Health Oshawa,"Kingston, Ontario",1.0,,,,,,,lakeridge health oshawa,lakeridge oshawa
Lambton Public Health,Kenora,1.0,,,,,,,lambton public health,lambton public
"Lanark, Leeds and Grenville Addictions and Mental Health",,1.0,,,,,,,lanark leeds and grenville addictions and mental health,lanark leeds and grenville addictions and
Lucero Health Centre,Thunder Bay,1.0,,,,,,,lucero health centre,lucero
Lucero Health Centre,Thunder Bay,1.0,,,,,,Shelters,lucero health centre,lucero
Middlesex-London Health Unit,"London, Ontario",,,,,,,Addiction treatment centres,middlesex,middlesex
Migisi Alchol and Drug Treatment Centre,"London, Ontario",1.0,,,,,,Opiod and Methadone clinic,migisi alchol and drug treatment centre,migisi alchol and drug
Mike Powell Counselling Services,Ottawa,,,,,,,Wellness Hub for Youth,mike powell counselling services,mike powell counselling
Mission Services of Hamilton,,1.0,,,,,,Centres for Women,mission services of hamilton,mission of hamilton
Mission Services of London,Thunder Bay,1.0,,,,,,Smoking Cessation programs,mission services of london,mission of london
Monarch Recovery Services,"London, Ontario",1.0,,,,,,Gambling Programs,monarch recovery services,monarch recovery
Monarch Recovery Services,"Hamilton, Ontario",1.0,,,,,,Alcohol Cessation Program,monarch recovery services,monarch recovery
Monarch Recovery Services,Ottawa,1.0,,,,,,Food Addictions and Eating disorders,monarch recovery services,monarch recovery
N'Amerind (London) Friendship Centre,Brampton,1.0,,,,,,Counselling,n amerind friendship centre,n amerind friendship
N'Swakamok Native Friendship Centre,"London, Ontario",,,,,,,,n swakamok native friendship centre,n swakamok native friendship
Ne Chee Friendship Centre,Kenora,,,,,,,,ne chee friendship centre,ne chee friendship
New Beginnings Clinic,"Pembroke, Ontario",1.0,,,,,,,new beginnings clinic,new beginnings
New Dawn Medical,"Hamilton, Ontario",1.0,,,,,,,new dawn medical,new dawn medical
New Dawn Medical,"Toronto, Ontario",1.0,,,,,,,new dawn medical,new dawn medical
New Dawn Medical,"Peterborough, Ontario",1.0,,,,,,,new dawn medical,new dawn medical
New Life Clinic,"Cobourg, Ontario",1.0,,,,,,,new life clinic,new life
Niagara Health,Greater Sudbury,1.0,,,,,,,niagara health,niagara
Niagara Health,"Port Colborne, Ontario",1.0,,,,,,,niagara health,niagara
Nogojiwanong Friendship Centre,St. Catharines,1.0,,,,,,,nogojiwanong friendship centre,nogojiwanong friendship
North Bay Indigenous Friendship Centre,"Peterborough, Ontario",,,,,,,,north bay indigenous friendship centre,north bay indigenous friendship
North Bay Regional Health Centre,"North Bay, Ontario",,,,,,,,north bay regional health centre,north bay regional
Northern Treatment Centre,"North Bay, Ontario",1.0,,,,,,,northern treatment centre,northern
Northwestern Health Unit,Kirkland Lake,1.0,,,,,,,northwestern health unit,northwestern unit
NorWest Community Health Centres,Kenora,1.0,,,,,,,norwest community health centres,norwest centres
Oak Medical Arts,Thunder Bay,,,,,,,,oak medical arts,oak medical arts
Ontario Addiction Treatment Centres,Thunder Bay,1.0,,,,,,,ontario addiction treatment centres,centres
Ontario Addiction Treatment Centres,Thorold,1.0,,,,,,,ontario addiction treatment centres,centres
Ontario Addiction Treatment Centres,Port Colborne,1.0,,,,,,,ontario addiction treatment centres,centres
Ontario Addiction Treatment Centres,St. Catharines,1.0,,,,,,,ontario addiction treatment centres,centres
Ontario Addiction Treatment Centres - Kitchener,"Peterborough, Ontario",1.0,,,,,,,ontario addiction treatment centres,centres
Ontario Addiction Treatment Centres - Niagara Region,,1.0,,,,,,,ontario addiction treatment centres,centres
Ontario Addiction Treatment Centres - Northeastern Ontario,,1.0,,,,,,,ontario addiction treatment centres,centres
Ontario Addiction Treatment Centres - Northwestern Ontario,,1.0,,,,,,,ontario addiction treatment centres,centres
Ontario Addiction Treatment Centres [Windsor],,1.0,,,,,,,ontario addiction treatment centres windsor,centres windsor
Oxford County Community Health Centre,,1.0,,,,,,,oxford county community health centre,oxford county
Oxford Recovery Clinic,,1.0,,,,,,,oxford recovery clinic,oxford recovery
Pathways Alcohol and Drug Treatment Services,,1.0,,,,,,,pathways alcohol and drug treatment services,pathways alcohol and drug
Peel Addiction Assessment and Referral Centre,,1.0,,,,,,,peel addiction assessment and referral centre,peel assessment and referral
Pembroke Regional Hospital,,1.0,,,,,,,pembroke regional hospital,pembroke regional hospital
Peterborough Public Health,,1.0,,,,,,,peterborough public health,peterborough public
Peterborough Regional Health Centre,,1.0,,,,,,,peterborough regional health centre,peterborough regional
